#{"t_start": 1676492600.319077, "env_id": "NetworkManagement-v1"}
r,l,t
-20363.429,30,1.192984
-31693.319,30,2.81922
-4206.193,30,4.010976
-52482.883,30,5.114994
-51729.996,30,6.364029
-52865.01,30,7.633694
-49709.654,30,8.847662
-34711.731,30,10.070991
-11868.282,30,11.141226
-110129.2,30,12.253303
-85062.908,30,13.516316
-57875.085,30,14.747456
-86961.31,30,15.805025
-32307.977,30,16.90497
-14570.904,30,18.221206
-60052.081,30,19.732281
-27957.108,30,20.864011
-71614.264,30,21.983336
-62565.442,30,23.201742
-47112.627,30,24.32466
-53170.438,30,25.541888
-53573.912,30,26.765103
-73769.702,30,27.960471
-69244.024,30,29.053568
-76505.919,30,30.204585
-45659.012,30,31.312148
-42712.642,30,32.459534
-47849.98,30,33.647371
-59566.169,30,34.754254
-86982.771,30,35.9011
-46257.878,30,36.992371
-54576.308,30,38.021192
-33674.566,30,39.065114
-107453.194,30,40.109221
-3023.478,30,41.180559
-45642.135,30,42.231511
-10371.169,30,43.317953
-73620.507,30,44.418972
-72190.985,30,45.496595
-110854.8,30,46.628058
-46238.488,30,47.673009
-24709.3,30,48.724526
-35952.744,30,49.818408
-57178.818,30,50.866263
-53402.981,30,51.994382
-2558.03,30,53.101913
-18670.174,30,54.274541
-5452.059,30,55.476814
